popular,playlist_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,unix_timestamp
0,4,0.71,0.827,0.0,-5.244,1,0.021420958393730472,0.037234656786171695,1.2202191480075722e-05,0.05851332294239042,0.833,4.709557227974138,12.223426197857627,1421280000.0
1,3,0.7,0.79,8.0,-6.34913587994543,1,0.03945422465954983,0.05480908536982685,0.0,0.08743946947531511,0.7,4.795790545596741,12.300838470329301,1667260800.0
1,2,0.9,0.754,5.0,-7.016,0,0.0460649859885497,0.15213601053360123,2.7115629037005333e-06,0.10712086443592499,0.741,4.615565962170212,13.048072927064014,1568505600.0
0,2,0.627,0.625,0.0,-7.525,1,0.03294597512707148,0.04460730477806019,9.45498685090836e-06,0.10283031868598262,0.676,4.554055822959791,11.971147462554596,1579046400.0
0,5,0.81,0.353,6.0,-9.931,0,0.054233681142466454,0.1814847144062275,0.0,0.06359018686600555,0.0727,4.488984623691431,12.246705822225465,1542240000.0
0,6,0.824,0.427,9.0,-8.314,0,0.048135538328259994,0.15539997791080798,0.0,0.059321912204173224,0.566,5.003999995779302,11.87074675160703,1531612800.0
0,2,0.888,0.562,0.0,-6.355,1,0.04532895712217358,0.05269763343141345,1.7482232721921308e-06,0.05465692203788608,0.569,4.595129951093676,12.033907338980594,1534291200.0
1,3,0.54,0.79,8.0,-6.34913587994543,1,0.0282445078767588,0.009615987557067824,0.0,0.08497661719685742,0.45,5.043425116919247,12.300838470329301,1647993600.0
1,2,0.777,0.712,10.0,-4.84,1,0.053084771152692056,0.11754384063654845,0.0,0.05911024805136877,0.68,4.571530668943854,12.076726767121837,1557878400.0
0,6,0.708,0.653,11.0,-5.141,0,0.05407230008703465,0.0574775966358668,0.00011580648898943531,0.08647083011735462,0.369,4.586303320730017,12.05700403010971,1518652800.0
1,0,0.747,0.705,9.0,-5.137,0,0.04299512925490799,0.012177790370842607,0.0,0.0722308034165965,0.56,4.9201560929672175,12.271429581674802,1416009600.0
0,6,0.897,0.65,7.0,-8.332,1,0.05407230008703465,0.1496097530570346,0.0,0.08210046623311666,0.717,4.70592913063868,11.727230067617233,931996800.0
0,6,0.644,0.856,7.0,-5.394,1,0.05966872206859918,0.06317560691302787,0.0,0.09722013159385429,0.691,4.52526080275979,11.90548768772287,1473897600.0
0,4,0.715,0.96,10.0,-5.091,1,0.029058926421987718,0.09679122747820713,0.00024217889269500563,0.04328399240844514,0.809,5.141529044532354,12.1261795100035,1568505600.0
1,2,0.792,0.895,1.0,-3.112,0,0.03089207813903469,0.10021659018297582,0.0,0.038585139741189024,0.794,4.564014802566598,12.213678646429562,1518652800.0
